,Movie_Title,IMDB,Film Rating,Released,Runtime,Genre,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words
130,Black Snake Moan,0.7,R,02 Mar 2007,116 min,"Drama, Music",/Black-Snake-Moan.html,44.0,16.0,2.0,4.0,0.0,10.0,3.0,2.0,1.0,0.0,0.0,25238.0
131,Black Swan,0.8,R,17 Dec 2010,108 min,"Drama, Thriller",/Black-Swan.html,1.0,5.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,18832.0
132,Blade,0.71,R,21 Aug 1998,120 min,"Action, Horror, Sci-Fi",/Blade.html,4.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,25143.0
133,Blade II,0.67,R,22 Mar 2002,117 min,"Action, Horror, Sci-Fi, Thriller",/Blade-II.html,14.0,15.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,25350.0
134,Blade Runner,0.82,R,25 Jun 1982,117 min,"Sci-Fi, Thriller",/Blade-Runner.html,4.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,24551.0
135,Blood and Wine,0.6,R,21 Feb 1997,101 min,"Crime, Drama, Thriller",/Blood-and-Wine.html,6.0,6.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,23025.0
136,Blow,0.76,R,06 Apr 2001,124 min,"Biography, Crime, Drama",/Blow.html,20.0,27.0,2.0,2.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0,23498.0
137,Blue Valentine,0.74,R,28 Jan 2011,112 min,"Drama, Romance",/Blue-Valentine.html,11.0,6.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,22582.0
138,Blue Velvet,0.78,R,23 Oct 1986,120 min,"Drama, Mystery, Thriller",/Blue-Velvet.html,12.0,20.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,27359.0
139,"Bodies, Rest & Motion",0.56,R,09 Apr 1993,95 min,Drama,"/Bodies,-Rest-&-Motion.html",19.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16165.0
140,Body Heat,0.74,R,28 Aug 1981,113 min,"Crime, Drama, Romance, Thriller",/Body-Heat.html,6.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,30886.0
141,Body of Evidence,0.44,R,15 Jan 1993,99 min,"Drama, Thriller",/Body-of-Evidence.html,1.0,3.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,21615.0
142,Bodyguard,0.82,N/A,26 Aug 2018,60 min,"Crime, Drama, Thriller",/Bodyguard.html,4.0,13.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,35372.0
143,Bones,0.79,TV-14,13 Sep 2005,40 min,"Comedy, Crime, Drama, Mystery, Romance",/Bones.html,26.0,11.0,16.0,6.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,29132.0
144,The Bonfire of the Vanities,0.55,R,21 Dec 1990,125 min,"Comedy, Drama, Romance",,,,,,,,,,,,,
145,Bonnie and Clyde,0.79,R,01 Sep 1967,111 min,"Action, Biography, Crime, Drama",/Bonnie-and-Clyde.html,0.0,1.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30502.0
146,Boogie Nights,0.79,R,31 Oct 1997,155 min,Drama,/Boogie-Nights.html,27.0,69.0,2.0,4.0,3.0,17.0,15.0,8.0,27.0,1.0,0.0,29904.0
147,Bottle Rocket,0.7,R,21 Feb 1996,91 min,"Comedy, Crime, Drama",/Bottle-Rocket.html,21.0,21.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20796.0
148,Bound,0.74,R,04 Oct 1996,109 min,"Crime, Romance, Thriller",/Bound.html,24.0,44.0,0.0,6.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,19404.0
149,The Bourne Ultimatum: The Evolution of Nicky,0.78,N/A,11 Dec 2007,10 min,"Short, Action",,,,,,,,,,,,,
150,"Fractured Fairy Tales: The Phox, the Box, & the Lox",0.69,G,27 Aug 1999,6 min,"Family, Animation, Comedy",,,,,,,,,,,,,
151,Boyhood,0.79,R,15 Aug 2014,165 min,Drama,/Boyhood.html,18.0,15.0,2.0,7.0,3.0,8.0,1.0,2.0,1.0,0.0,0.0,31186.0
152,Braveheart,0.84,R,24 May 1995,178 min,"Biography, Drama, History, War",/Braveheart.html,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,27714.0
153,Brazil,0.8,R,18 Dec 1985,132 min,"Drama, Sci-Fi",/Brazil.html,7.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,34631.0
154,Break,0.4,NOT RATED,01 Jun 2008,83 min,"Action, Crime, Drama",/Break.html,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26818.0
155,Breakdown,0.69,R,02 May 1997,93 min,"Action, Crime, Drama, Mystery, Thriller",/Breakdown.html,9.0,12.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,23420.0
156,Breaking Away,0.77,PG,20 Jul 1979,101 min,"Comedy, Drama, Romance, Sport",/Breaking-Away.html,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23702.0
157,Brick,0.74,R,14 Apr 2006,110 min,"Action, Crime, Drama, Mystery, Thriller",/Brick.html,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22231.0
158,Bridesmaids,0.68,R,13 May 2011,125 min,"Comedy, Romance",/Bridesmaids.html,19.0,2.0,1.0,3.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,25823.0
159,Bringing Out the Dead,0.68,R,22 Oct 1999,121 min,"Drama, Thriller",/Bringing-Out-the-Dead.html,10.0,3.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,19232.0
160,Broadcast News,0.72,R,25 Dec 1987,133 min,"Comedy, Drama, Romance",/Broadcast-News.html,7.0,3.0,6.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,29197.0
161,Broken Arrow,0.6,R,09 Feb 1996,108 min,"Action, Adventure, Thriller",/Broken-Arrow.html,6.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,19085.0
162,Broken Embraces,0.72,R,15 Jan 2010,127 min,"Drama, Romance, Thriller",/Broken-Embraces.html,2.0,6.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,40037.0
163,Bruce Almighty,0.67,PG-13,23 May 2003,101 min,"Comedy, Drama, Fantasy",/Bruce-Almighty.html,1.0,0.0,5.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,23221.0
164,Buffy the Vampire Slayer,0.82,TV-14,10 Mar 1997,44 min,"Action, Drama, Fantasy, Romance",/Buffy-the-Vampire-Slayer.html,4.0,1.0,1.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,23643.0
165,Bull Durham,0.71,R,15 Jun 1988,108 min,"Comedy, Romance, Sport",/Bull-Durham.html,22.0,14.0,29.0,4.0,1.0,16.0,3.0,4.0,2.0,0.0,0.0,24271.0
166,Buried,0.7,R,15 Oct 2010,95 min,"Drama, Mystery, Thriller",/Buried.html,7.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18586.0
167,Burlesque,0.64,PG-13,24 Nov 2010,119 min,"Drama, Music, Musical, Romance",/Burlesque.html,17.0,0.0,21.0,7.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,27723.0
168,Burn After Reading,0.7,R,12 Sep 2008,96 min,"Comedy, Crime, Drama, Thriller",/Burn-After-Reading.html,20.0,27.0,1.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,21363.0
169,Burning Annie,0.56,N/A,08 Mar 2003,95 min,"Comedy, Drama, Romance",/Burning-Annie.html,28.0,4.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,21433.0
170,Butterfly Effect: The Creative Process,0.62,N/A,06 Jul 2004,N/A,"Documentary, Short",,,,,,,,,,,,,
171,The Cable Guy,0.61,PG-13,14 Jun 1996,96 min,"Comedy, Drama, Thriller",,,,,,,,,,,,,
172,Candle to Water,0.46,N/A,01 Nov 2012,110 min,Drama,/Candle-to-Water.html,14.0,39.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,19749.0
173,Capote,0.74,R,03 Feb 2006,114 min,"Biography, Crime, Drama, History",/Capote.html,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,21051.0
174,Carrie,0.74,R,16 Nov 1976,98 min,Horror,/Carrie.html,11.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23006.0
175,Cars 2,0.62,G,24 Jun 2011,106 min,"Animation, Adventure, Comedy, Family, Sport",/Cars-2.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25013.0
176,Case 39,0.62,R,01 Oct 2010,109 min,"Horror, Mystery, Thriller",/Case-39.html,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24553.0
177,Casino,0.82,R,22 Nov 1995,178 min,"Crime, Drama",/Casino.html,37.0,111.0,6.0,8.0,3.0,14.0,1.0,0.0,0.0,2.0,0.0,53918.0
178,Cast Away,0.78,PG-13,22 Dec 2000,143 min,"Adventure, Drama, Romance",/Cast-Away.html,14.0,5.0,24.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,27423.0
179,Catch Me If You Can,0.81,PG-13,25 Dec 2002,141 min,"Biography, Crime, Drama",/Catch-Me-If-You-Can.html,9.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29088.0
180,Cecil B. DeMented,0.62,R,01 Sep 2000,87 min,"Comedy, Crime, Thriller",,,,,,,,,,,,,
181,Cedar Rapids,0.63,R,18 Mar 2011,87 min,Comedy,/Cedar-Rapids.html,32.0,24.0,1.0,0.0,3.0,8.0,3.0,3.0,0.0,0.0,0.0,25949.0
182,Celeste,0.69,N/A,11 Mar 1991,60 min,"Drama, Mystery, Romance",,,,,,,,,,,,,
183,WWE: Hell in a Cell - The Greatest Hell in a Cell Matches of All Time,0.8,N/A,14 Oct 2008,N/A,"Action, Sport",,,,,,,,,,,,,
184,Cellular,0.65,PG-13,10 Sep 2004,94 min,"Action, Crime, Thriller",/Cellular.html,28.0,2.0,13.0,7.0,9.0,17.0,0.0,1.0,0.0,4.0,0.0,26456.0
185,Changeling,0.77,R,31 Oct 2008,141 min,"Biography, Crime, Drama, History, Mystery, Thriller",/Changeling.html,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,34053.0
186,Chaos,0.65,R,15 Dec 2005,106 min,"Action, Crime, Drama, Thriller",/Chaos.html,21.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,21409.0
187,Charade,0.8,NOT RATED,05 Dec 1963,113 min,"Comedy, Mystery, Romance, Thriller",/Charade.html,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31141.0
188,Charlie's Angels,0.55,PG-13,03 Nov 2000,98 min,"Action, Adventure, Comedy, Crime, Thriller",/Charlie's-Angels.html,8.0,2.0,7.0,5.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,23927.0
189,Chasing Amy,0.73,R,18 Apr 1997,113 min,"Comedy, Drama, Romance",/Chasing-Amy.html,51.0,43.0,2.0,22.0,5.0,11.0,13.0,3.0,6.0,1.0,0.0,24636.0
190,Chasing Sleep,0.64,R,16 May 2001,104 min,"Horror, Mystery, Thriller",/Chasing-Sleep.html,4.0,5.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,19546.0
191,Cherry Falls,0.51,R,25 Aug 2000,92 min,"Horror, Mystery, Thriller",/Cherry-Falls.html,8.0,17.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,20299.0
192,Chinatown,0.82,R,20 Jun 1974,130 min,"Drama, Mystery, Thriller",/Chinatown.html,2.0,1.0,2.0,8.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,26058.0
193,Christ Complex,0.65,NOT RATED,06 Oct 2012,76 min,"Comedy, Fantasy",/Christ-Complex.html,1.0,11.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,12871.0
194,Chronicle,0.71,PG-13,03 Feb 2012,84 min,"Drama, Sci-Fi, Thriller",/Chronicle.html,43.0,34.0,2.0,4.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,19549.0
195,The Cider House Rules: The Making of an American Classic,0.54,N/A,N/A,23 min,"Documentary, Short",,,,,,,,,,,,,
196,Cinema Paradiso,0.85,R,23 Feb 1990,155 min,Drama,/Cinema-Paradiso.html,1.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,33848.0
197,Citizen Kane,0.84,PG,05 Sep 1941,119 min,"Drama, Mystery",/Citizen-Kane.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35392.0
198,City of Joy,0.64,PG-13,17 Apr 1992,132 min,Drama,/City-of-Joy.html,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,30804.0
199,Clash of the Titans,0.58,PG-13,02 Apr 2010,106 min,"Action, Adventure, Fantasy",/Clash-of-the-Titans.html,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24014.0
200,Clerks,0.78,R,09 Nov 1994,92 min,Comedy,/Clerks.html,36.0,34.0,7.0,6.0,7.0,10.0,10.0,4.0,10.0,0.0,0.0,24770.0
201,Cliffhanger,0.64,R,28 May 1993,113 min,"Action, Adventure, Thriller",/Cliffhanger.html,5.0,12.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,31844.0
202,Clueless,0.68,PG-13,19 Jul 1995,97 min,"Comedy, Romance",/Clueless.html,10.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,13439.0
203,Cobb,0.65,R,02 Dec 1994,128 min,"Biography, Drama, Sport",/Cobb.html,15.0,22.0,37.0,8.0,1.0,15.0,2.0,0.0,0.0,8.0,0.0,28165.0
204,Coco,0.84,PG,22 Nov 2017,105 min,"Animation, Adventure, Comedy, Family, Fantasy, Music, Mystery",/Coco.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23336.0
205,Code of Silence,0.6,R,03 May 1985,101 min,"Action, Crime, Drama, Thriller",/Code-of-Silence.html,14.0,9.0,2.0,0.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,18275.0
206,Cold Mountain,0.72,R,25 Dec 2003,154 min,"Adventure, Drama, History, Romance, War",/Cold-Mountain.html,6.0,0.0,8.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,30702.0
207,Collateral Damage,0.55,R,08 Feb 2002,108 min,"Action, Drama, Thriller",/Collateral-Damage.html,12.0,3.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,29986.0
208,Colombiana,0.64,PG-13,26 Aug 2011,108 min,"Action, Drama, Thriller",/Colombiana.html,6.0,11.0,0.0,8.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,26024.0
209,Color of Night,0.51,R,19 Aug 1994,121 min,"Mystery, Romance, Thriller",/Color-of-Night.html,19.0,21.0,3.0,6.0,5.0,2.0,3.0,0.0,2.0,3.0,0.0,28988.0
210,Commando,0.67,R,04 Oct 1985,90 min,"Action, Adventure, Thriller",/Commando.html,6.0,7.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,17305.0
211,Conan the Barbarian,0.69,R,14 May 1982,129 min,"Adventure, Fantasy",/Conan-the-Barbarian.html,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23744.0
212,Confessions of a Dangerous Mind,0.71,R,24 Jan 2003,113 min,"Biography, Comedy, Crime, Drama, Romance, Thriller",/Confessions-of-a-Dangerous-Mind.html,9.0,35.0,4.0,2.0,7.0,7.0,15.0,3.0,1.0,0.0,0.0,24953.0
213,Confidence,0.67,R,25 Apr 2003,97 min,"Crime, Thriller",/Confidence.html,26.0,12.0,0.0,2.0,7.0,8.0,4.0,1.0,0.0,1.0,0.0,25206.0
214,Constantine,0.7,R,18 Feb 2005,121 min,"Action, Fantasy, Horror, Mystery",/Constantine.html,17.0,0.0,5.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,24834.0
215,Copycat,0.66,R,27 Oct 1995,123 min,"Drama, Mystery, Thriller",/Copycat.html,6.0,10.0,9.0,11.0,2.0,6.0,0.0,1.0,0.0,6.0,0.0,31558.0
216,Coraline,0.77,PG,06 Feb 2009,100 min,"Animation, Drama, Fantasy, Thriller",/Coraline.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24952.0
217,Coriolanus,0.61,R,20 Jan 2012,123 min,"Drama, Thriller, War",/Coriolanus.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21087.0
218,Courage Under Fire,0.66,R,12 Jul 1996,116 min,"Action, Drama, Mystery, Thriller, War",/Courage-Under-Fire.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
219,Cowboys,0.72,N/A,10 Oct 2013,107 min,"Comedy, Drama",,,,,,,,,,,,,
220,Cradle 2 the Grave,0.58,R,28 Feb 2003,101 min,"Action, Crime, Drama, Thriller",/Cradle-2-the-Grave.html,20.0,10.0,0.0,5.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,18953.0
221,Crank,0.7,R,01 Sep 2006,88 min,"Action, Crime, Thriller",/Crank.html,40.0,8.0,4.0,15.0,8.0,16.0,1.0,0.0,0.0,2.0,0.0,22657.0
222,Crash,0.78,R,06 May 2005,112 min,"Crime, Drama, Thriller",/Crash.html,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17357.0
223,"Crazy, Stupid, Love.",0.74,PG-13,29 Jul 2011,118 min,"Comedy, Drama, Romance",,,,,,,,,,,,,
224,Crazylove,0.63,N/A,N/A,95 min,"Comedy, Drama, Romance",/Crazylove.html,1.0,5.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,21799.0
225,Creation,0.67,PG-13,25 Sep 2009,108 min,"Biography, Drama, Romance",/Creation.html,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19578.0
226,Crime Spree,0.66,R,16 Apr 2003,105 min,"Action, Comedy, Crime",/Crime-Spree.html,11.0,10.0,2.0,1.0,1.0,8.0,2.0,0.0,0.0,1.0,0.0,25250.0
227,"Crouching Tiger, Hidden Dragon",0.79,PG-13,12 Jan 2001,120 min,"Action, Adventure, Fantasy, Romance","/Crouching-Tiger,-Hidden-Dragon.html",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11938.0
228,Croupier,0.72,NOT RATED,28 Jul 2000,94 min,"Crime, Drama",/Croupier.html,10.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19421.0
229,The Very Best of Sheryl Crow: The Videos,0.71,N/A,30 Mar 2004,55 min,Music,,,,,,,,,,,,,
230,Cruel Intentions,0.68,R,05 Mar 1999,97 min,"Drama, Romance",/Cruel-Intentions.html,16.0,12.0,0.0,5.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,18476.0
231,The Crying Game,0.73,R,19 Feb 1993,112 min,"Crime, Drama, Romance, Thriller",,,,,,,,,,,,,
232,Cube,0.73,R,11 Jul 1998,90 min,"Drama, Mystery, Sci-Fi, Thriller",/Cube.html,1.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8866.0
233,Custody,0.76,N/A,07 Feb 2018,93 min,Drama,/Custody.html,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,15628.0
234,Dallas Buyers Club,0.8,R,22 Nov 2013,117 min,"Biography, Drama",/Dallas-Buyers-Club.html,31.0,27.0,5.0,3.0,1.0,10.0,1.0,4.0,2.0,0.0,0.0,22128.0
235,Dances with Wolves,0.8,PG-13,21 Nov 1990,181 min,"Adventure, Drama, Western",/Dances-with-Wolves.html,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,37121.0
236,Dark City,0.77,R,27 Feb 1998,100 min,"Mystery, Sci-Fi, Thriller",/Dark-City.html,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27401.0
237,Dark Star,0.64,G,09 Feb 1979,83 min,"Comedy, Sci-Fi",/Dark-Star.html,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6914.0
238,Darkman,0.64,R,24 Aug 1990,96 min,"Action, Crime, Sci-Fi, Thriller",/Darkman.html,2.0,3.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,27215.0
239,Date Night,0.63,PG-13,09 Apr 2010,88 min,"Comedy, Crime, Romance, Thriller",/Date-Night.html,9.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21886.0
240,Dawn of the Dead,0.73,R,19 Mar 2004,101 min,"Action, Horror, Thriller",/Dawn-of-the-Dead.html,13.0,0.0,9.0,2.0,0.0,7.0,1.0,0.0,0.0,3.0,0.0,41562.0
241,Day of the Dead,0.72,NOT RATED,19 Jul 1985,96 min,"Horror, Thriller",/Day-of-the-Dead.html,14.0,4.0,7.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,28403.0
242,Days of Heaven,0.79,PG,06 Oct 1978,94 min,"Drama, Romance",/Days-of-Heaven.html,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,30120.0
243,Dead Poets Society,0.81,PG,09 Jun 1989,128 min,"Comedy, Drama",/Dead-Poets-Society.html,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,20860.0
244,Deadpool,0.8,R,12 Feb 2016,108 min,"Action, Adventure, Comedy, Sci-Fi",/Deadpool.html,23.0,21.0,0.0,2.0,3.0,5.0,1.0,0.0,1.0,0.0,2.0,27974.0
245,Dear White People,0.61,R,04 Dec 2014,108 min,"Comedy, Drama, Romance",/Dear-White-People.html,15.0,15.0,7.0,7.0,0.0,8.0,3.0,0.0,1.0,0.0,0.0,22030.0
246,Death at a Funeral,0.74,R,07 Sep 2007,90 min,Comedy,/Death-at-a-Funeral.html,20.0,2.0,18.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,20988.0
247,Death to Smoochy,0.64,R,29 Mar 2002,109 min,"Comedy, Crime, Drama, Thriller",/Death-to-Smoochy.html,11.0,3.0,3.0,5.0,6.0,9.0,1.0,0.0,5.0,1.0,0.0,24751.0
248,Deception,0.61,R,25 Apr 2008,107 min,"Crime, Drama, Mystery, Thriller",/Deception.html,3.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28179.0
249,Deep Cover,0.69,R,15 Apr 1992,107 min,"Action, Crime, Thriller",/Deep-Cover.html,24.0,14.0,3.0,6.0,5.0,4.0,3.0,1.0,0.0,2.0,0.0,21744.0
250,Deep Rising,0.6,R,30 Jan 1998,106 min,"Action, Adventure, Horror, Sci-Fi",/Deep-Rising.html,25.0,0.0,6.0,3.0,2.0,13.0,1.0,0.0,0.0,2.0,0.0,23618.0
251,Defiance,0.72,R,16 Jan 2009,137 min,"Action, Drama, History, Thriller, War",/Defiance.html,16.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,24712.0
252,Despicable Me 2,0.74,PG,03 Jul 2013,98 min,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",/Despicable-Me-2.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21036.0
253,Detroit Rock City,0.69,R,13 Aug 1999,95 min,"Comedy, Music",/Detroit-Rock-City.html,29.0,13.0,3.0,4.0,2.0,26.0,7.0,0.0,0.0,0.0,0.0,27439.0
254,Devil in a Blue Dress,0.67,R,29 Sep 1995,102 min,"Crime, Drama, Mystery, Thriller",/Devil-in-a-Blue-Dress.html,10.0,0.0,21.0,5.0,0.0,8.0,0.0,0.0,2.0,2.0,0.0,25280.0
255,The Devil's Advocate,0.75,R,17 Oct 1997,144 min,"Drama, Mystery, Thriller",,,,,,,,,,,,,
256,Die Hard,0.82,R,20 Jul 1988,132 min,"Action, Thriller",/Die-Hard.html,16.0,9.0,6.0,2.0,4.0,9.0,2.0,0.0,1.0,2.0,0.0,27201.0
257,Die Hard 2,0.71,R,03 Jul 1990,124 min,"Action, Thriller",/Die-Hard-2.html,19.0,16.0,8.0,4.0,9.0,14.0,5.0,0.0,1.0,2.0,0.0,25615.0
258,Diner,0.72,R,21 May 1982,110 min,"Comedy, Drama",/Diner.html,8.0,2.0,1.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,20316.0
259,Disturbia,0.69,PG-13,13 Apr 2007,105 min,"Crime, Drama, Mystery, Thriller",/Disturbia.html,29.0,2.0,3.0,2.0,2.0,8.0,1.0,0.0,0.0,2.0,0.0,26773.0
260,Django Unchained,0.84,R,25 Dec 2012,165 min,"Drama, Western",/Django-Unchained.html,13.0,8.0,19.0,7.0,0.0,52.0,0.0,0.0,1.0,4.0,0.0,40225.0
261,Do the Right Thing,0.79,R,21 Jul 1989,120 min,"Comedy, Drama",,,,,,,,,,,,,
262,Dog Day Afternoon,0.8,R,25 Dec 1975,125 min,"Biography, Crime, Drama, Thriller",/Dog-Day-Afternoon.html,22.0,22.0,8.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,28319.0
263,Dogma,0.73,R,12 Nov 1999,130 min,"Adventure, Comedy, Drama, Fantasy",/Dogma.html,53.0,36.0,4.0,12.0,4.0,15.0,3.0,1.0,0.0,4.0,0.0,32356.0
264,Donnie Brasco,0.78,R,28 Feb 1997,127 min,"Biography, Crime, Drama",/Donnie-Brasco.html,7.0,38.0,0.0,2.0,1.0,8.0,0.0,0.0,1.0,1.0,0.0,25223.0
265,The Doors: The Soft Parade,0.8,N/A,N/A,50 min,"Documentary, Music",,,,,,,,,,,,,
266,Double Indemnity,0.83,PASSED,06 Jul 1944,107 min,"Crime, Drama, Film-Noir, Mystery, Thriller",/Double-Indemnity.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32380.0
267,Drag Me to Hell,0.66,PG-13,29 May 2009,99 min,"Horror, Thriller",/Drag-Me-to-Hell.html,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18223.0
268,Dragonslayer,0.67,PG,26 Jun 1981,109 min,"Action, Adventure, Fantasy",/Dragonslayer.html,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20076.0
269,Drive,0.78,R,16 Sep 2011,100 min,"Crime, Drama",/Drive.html,2.0,13.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,22740.0
270,Drive Angry,0.54,R,25 Feb 2011,104 min,"Action, Fantasy, Thriller",/Drive-Angry.html,14.0,33.0,4.0,8.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,19085.0
