,Movie_Title,IMDB,Film Rating,Released,Runtime,Genre,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words
30,Ali,0.68,R,25 Dec 2001,157 min,"Biography, Drama, Sport",/Ali.html,1.0,5.0,4.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,33431.0
31,Alien,0.85,R,22 Jun 1979,116 min,"Horror, Sci-Fi",/Alien.html,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22776.0
32,The Making of 'Alien 3',0.69,PG-13,N/A,22 min,"Documentary, Short",,,,,,,,,,,,,
33,Alien Nation,0.63,R,07 Oct 1988,91 min,"Action, Sci-Fi",/Alien-Nation.html,17.0,2.0,5.0,5.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,26090.0
34,AVP: Alien vs. Predator,0.56,PG-13,13 Aug 2004,101 min,"Action, Horror, Sci-Fi, Thriller",,,,,,,,,,,,,
35,Aliens,0.84,R,18 Jul 1986,137 min,"Action, Adventure, Sci-Fi, Thriller",/Aliens.html,10.0,11.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,28743.0
36,All About Eve,0.83,NOT RATED,27 Oct 1950,138 min,Drama,/All-About-Eve.html,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30500.0
37,All About Steve,0.48,PG-13,04 Sep 2009,99 min,"Comedy, Romance",/All-About-Steve.html,1.0,0.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,23620.0
38,All the King's Men,0.62,PG-13,22 Sep 2006,128 min,"Drama, Thriller",/All-the-King's-Men.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23469.0
39,All the President's Men,0.8,PG,09 Apr 1976,138 min,"Biography, Drama, History, Thriller",/All-the-President's-Men.html,9.0,11.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,25148.0
40,Almost Famous,0.79,R,22 Sep 2000,122 min,"Adventure, Comedy, Drama, Music",/Almost-Famous.html,3.0,10.0,4.0,0.0,2.0,3.0,100.0,0.0,0.0,0.0,0.0,36396.0
41,Alone in the Dark,0.23,R,28 Jan 2005,96 min,"Action, Horror, Sci-Fi",/Alone-in-the-Dark.html,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,24987.0
42,Amadeus,0.83,R,19 Sep 1984,160 min,"Biography, Drama, History, Music",/Amadeus.html,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36645.0
43,Amelia,0.58,PG,23 Oct 2009,111 min,"Adventure, Biography, Drama, Romance",/Amelia.html,1.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,27090.0
44,American Beauty,0.84,R,01 Oct 1999,122 min,Drama,/American-Beauty.html,10.0,13.0,2.0,2.0,4.0,1.0,6.0,2.0,0.0,1.0,0.0,21334.0
45,American Gangster,0.78,R,02 Nov 2007,157 min,"Biography, Crime, Drama, Thriller",/American-Gangster.html,6.0,31.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,31545.0
46,American Graffiti,0.75,PG,11 Aug 1973,110 min,"Comedy, Drama",/American-Graffiti.html,10.0,0.0,5.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,28091.0
47,American History X,0.85,R,20 Nov 1998,119 min,"Crime, Drama",/American-History-X.html,50.0,38.0,3.0,10.0,9.0,16.0,6.0,7.0,0.0,1.0,0.0,20868.0
48,American Hustle,0.73,R,20 Dec 2013,138 min,"Crime, Drama",/American-Hustle.html,18.0,23.0,2.0,5.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,32053.0
49,American Madness,0.75,PASSED,15 Aug 1932,75 min,Drama,/American-Madness.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24822.0
50,American Milkshake,0.47,R,20 Jan 2013,83 min,Comedy,/American-Milkshake.html,22.0,10.0,9.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,18064.0
51,American Outlaws,0.6,PG-13,17 Aug 2001,94 min,"Action, Western",/American-Outlaws.html,2.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,21763.0
52,American Pie,0.7,R,09 Jul 1999,95 min,Comedy,/American-Pie.html,26.0,16.0,9.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,21482.0
53,American Psycho,0.76,R,14 Apr 2000,101 min,"Crime, Drama",/American-Psycho.html,5.0,7.0,0.0,10.0,5.0,3.0,0.0,1.0,0.0,8.0,0.0,21294.0
54,American Sniper,0.73,R,16 Jan 2015,133 min,"Action, Biography, Drama, History, Thriller, War",/American-Sniper.html,26.0,29.0,3.0,1.0,1.0,20.0,3.0,0.0,0.0,1.0,0.0,23830.0
55,American Splendor,0.75,R,12 Sep 2003,101 min,"Biography, Comedy, Drama",/American-Splendor.html,14.0,0.0,7.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,20210.0
