,Unnamed: 0,Movie_Title,IMDB,Film Rating,Released,Runtime,Genre,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words,total_bad_words,Runtime_minutes,bad_word_frequency,Year
0,0,10 Things I Hate About You,0.73,PG-13,31 Mar 1999,97 min,"Comedy, Drama, Romance",/10-Things-I-Hate-About-You.html,8.0,2.0,3.0,5.0,3.0,7.0,2.0,1.0,0.0,0.0,0.0,19152.0,31.0,97.0,3.13,1999
1,1,12,0.77,PG-13,20 Sep 2007,159 min,"Crime, Drama, Thriller, War",/12.html,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,14144.0,6.0,159.0,26.5,2007
2,2,12 and Holding,0.76,R,07 Jul 2006,94 min,Drama,/12-and-Holding.html,10.0,4.0,3.0,1.0,5.0,4.0,0.0,7.0,0.0,1.0,0.0,18999.0,35.0,94.0,2.69,2006
3,3,12 Monkeys,0.77,TV-14,16 Jan 2015,42 min,"Adventure, Drama, Mystery, Sci-Fi, Thriller",/12-Monkeys.html,4.0,5.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,32272.0,20.0,42.0,2.1,2015
4,4,12 Years a Slave,0.81,R,08 Nov 2013,134 min,"Biography, Drama, History",/12-Years-a-Slave.html,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,31014.0,16.0,134.0,8.38,2013
5,5,127 Hours,0.76,R,28 Jan 2011,94 min,"Adventure, Biography, Drama, Thriller",/127-Hours.html,10.0,10.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,18959.0,24.0,94.0,3.92,2011
6,6,15 Minutes,0.61,R,09 Mar 2001,120 min,"Action, Crime, Drama, Thriller",/15-Minutes.html,15.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,26049.0,23.0,120.0,5.22,2001
7,7,17 Again,0.64,PG-13,17 Apr 2009,102 min,"Comedy, Drama, Fantasy",/17-Again.html,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,19103.0,6.0,102.0,17.0,2009
8,8,2012,0.58,PG-13,13 Nov 2009,158 min,"Action, Adventure, Sci-Fi",/2012.html,6.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,26650.0,19.0,158.0,8.32,2009
9,9,30 Minutes or Less,0.61,R,12 Aug 2011,83 min,"Action, Comedy, Crime",/30-Minutes-or-Less.html,61.0,92.0,5.0,10.0,9.0,6.0,4.0,4.0,3.0,0.0,0.0,24500.0,194.0,83.0,0.43,2011
10,10,42,0.75,PG-13,12 Apr 2013,128 min,"Biography, Drama, Sport",/42.html,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,28607.0,12.0,128.0,10.67,2013
11,11,44 Inch Chest,0.58,R,15 Jan 2010,95 min,"Crime, Drama",/44-Inch-Chest.html,6.0,34.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,21746.0,54.0,95.0,1.76,2010
12,12,48 Hrs.,0.69,R,08 Dec 1982,96 min,"Action, Comedy, Crime, Drama, Thriller",/48-Hrs..html,29.0,13.0,7.0,7.0,9.0,22.0,1.0,3.0,1.0,3.0,0.0,21550.0,95.0,96.0,1.01,1982
14,14,500 Days of Summer,0.77,PG-13,07 Aug 2009,95 min,"Comedy, Drama, Romance",/500-Days-of-Summer.html,20.0,2.0,3.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,16.0,18698.0,50.0,95.0,1.9,2009
