,Unnamed: 0,Movie_Title,IMDB,Film Rating,Released,Runtime,Genre,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words,total_bad_words,Runtime_minutes,bad_word_frequency,Year
675,675,Repo Man,0.69,R,02 Mar 1984,92 min,"Comedy, Crime, Sci-Fi, Thriller",/Repo-Man.html,28.0,21.0,17.0,0.0,7.0,2.0,0.0,2.0,0.0,1.0,1.0,12908.0,79.0,92.0,1.16,1984
676,676,Reservoir Dogs,0.83,R,02 Sep 1992,99 min,"Crime, Drama, Thriller",/Reservoir-Dogs.html,55.0,62.0,1.0,9.0,7.0,20.0,20.0,5.0,0.0,8.0,0.0,20443.0,187.0,99.0,0.53,1992
677,677,Resident Evil,0.67,R,15 Mar 2002,100 min,"Action, Horror, Sci-Fi",/Resident-Evil.html,30.0,6.0,6.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,24091.0,51.0,100.0,1.96,2002
678,678,Revolutionary Road,0.73,R,23 Jan 2009,119 min,"Drama, Romance",/Revolutionary-Road.html,1.0,5.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,17846.0,22.0,119.0,5.41,2009
679,679,Ringu,0.73,NOT RATED,31 Jan 1998,96 min,"Horror, Mystery",/Ringu.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16823.0,0.0,96.0,inf,1998
680,680,Rise of the Guardians,0.73,PG,21 Nov 2012,97 min,"Animation, Adventure, Family, Fantasy, Thriller",/Rise-of-the-Guardians.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28717.0,0.0,97.0,inf,2012
681,681,Rise of the Planet of the Apes,0.76,PG-13,05 Aug 2011,105 min,"Action, Drama, Sci-Fi, Thriller",/Rise-of-the-Planet-of-the-Apes.html,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,23142.0,8.0,105.0,13.12,2011
682,682,RKO 281,0.71,R,20 Nov 1999,86 min,"Biography, Drama",/RKO-281.html,9.0,16.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23968.0,34.0,86.0,2.53,1999
683,683,Revelation Road: The Beginning of the End,0.5,NOT RATED,01 Mar 2013,88 min,Action,float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),1.0,88.0,88.0,2013
684,684,Rock the Kasbah,0.55,R,23 Oct 2015,106 min,"Comedy, Music, War",float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),1.0,106.0,106.0,2015
685,685,RocknRolla,0.73,R,31 Oct 2008,114 min,"Action, Crime, Thriller",/RocknRolla.html,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,25114.0,30.0,114.0,3.8,2008
686,686,Rocky,0.81,PG,03 Dec 1976,120 min,"Drama, Sport",/Rocky.html,0.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,22955.0,11.0,120.0,10.91,1976
687,687,Romeo,0.71,float(0),13 Apr 1990,94 min,Drama,float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),float(0),1.0,94.0,94.0,1990
688,688,Ronin,0.73,R,25 Sep 1998,122 min,"Action, Adventure, Crime, Thriller",/Ronin.html,9.0,13.0,1.0,5.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,28386.0,36.0,122.0,3.39,1998
